Categoría: Todas las categorías

Mes,Depresión: (Luxemburgo)
2010-01,69
2010-02,74
2010-03,62
2010-04,65
2010-05,0
2010-06,0
2010-07,70
2010-08,0
2010-09,0
2010-10,49
2010-11,65
2010-12,0
2011-01,60
2011-02,45
2011-03,35
2011-04,0
2011-05,71
2011-06,52
2011-07,0
2011-08,53
2011-09,44
2011-10,46
2011-11,45
2011-12,43
2012-01,58
2012-02,64
2012-03,44
2012-04,44
2012-05,37
2012-06,64
2012-07,61
2012-08,52
2012-09,71
2012-10,40
2012-11,63
2012-12,58
2013-01,70
2013-02,39
2013-03,66
2013-04,52
2013-05,77
2013-06,49
2013-07,65
2013-08,80
2013-09,44
2013-10,74
2013-11,50
2013-12,50
2014-01,59
2014-02,100
2014-03,48
2014-04,53
2014-05,47
2014-06,53
2014-07,54
2014-08,56
2014-09,63
2014-10,64
2014-11,77
2014-12,67
2015-01,79
2015-02,65
2015-03,46
2015-04,69
2015-05,59
2015-06,52
2015-07,70
2015-08,48
2015-09,52
2015-10,77
2015-11,89
2015-12,46
2016-01,84
2016-02,83
2016-03,71
2016-04,64
2016-05,77
2016-06,86
2016-07,62
2016-08,63
2016-09,44
2016-10,85
2016-11,26
2016-12,23
2017-01,33
2017-02,24
2017-03,0
2017-04,31
2017-05,0
2017-06,32
2017-07,0
2017-08,0
2017-09,20
2017-10,34
2017-11,24
2017-12,26
2018-01,32
2018-02,46
2018-03,48
2018-04,47
2018-05,56
2018-06,42
2018-07,30
2018-08,29
2018-09,30
2018-10,27
2018-11,35
2018-12,74
2019-01,48
2019-02,54
2019-03,48
2019-04,37
2019-05,38
2019-06,37
2019-07,86
2019-08,61
2019-09,56
2019-10,87
2019-11,66
2019-12,74
2020-01,76
2020-02,70
2020-03,56
2020-04,70
2020-05,84
2020-06,81
2020-07,69
2020-08,56
2020-09,45
2020-10,36
2020-11,36
2020-12,38
2021-01,41
2021-02,42
2021-03,44
2021-04,43
2021-05,41
2021-06,44
2021-07,21
2021-08,32
2021-09,36
2021-10,36
2021-11,44
2021-12,42
2022-01,64
2022-02,97
2022-03,96
2022-04,84
2022-05,87
2022-06,59
2022-07,89
2022-08,73
2022-09,82
2022-10,77
2022-11,83
2022-12,90
2023-01,100
2023-02,73
2023-03,95
2023-04,70
2023-05,40
2023-06,34
2023-07,53
2023-08,50
2023-09,42
2023-10,57
2023-11,41
2023-12,52
2024-01,63
2024-02,52
2024-03,43
2024-04,61
2024-05,30
