date,/m/03f_cb,isPartial
2009-12-27,0,False
2010-01-03,0,False
2010-01-10,59,False
2010-01-17,54,False
2010-01-24,51,False
2010-01-31,0,False
2010-02-07,59,False
2010-02-14,0,False
2010-02-21,0,False
2010-02-28,65,False
2010-03-07,63,False
2010-03-14,65,False
2010-03-21,55,False
2010-03-28,0,False
2010-04-04,82,False
2010-04-11,66,False
2010-04-18,0,False
2010-04-25,64,False
2010-05-02,49,False
2010-05-09,0,False
2010-05-16,67,False
2010-05-23,0,False
2010-05-30,0,False
2010-06-06,0,False
2010-06-13,0,False
2010-06-20,0,False
2010-06-27,72,False
2010-07-04,60,False
2010-07-11,0,False
2010-07-18,0,False
2010-07-25,0,False
2010-08-01,0,False
2010-08-08,50,False
2010-08-15,56,False
2010-08-22,50,False
2010-08-29,0,False
2010-09-05,74,False
2010-09-12,68,False
2010-09-19,55,False
2010-09-26,47,False
2010-10-03,68,False
2010-10-10,48,False
2010-10-17,79,False
2010-10-24,84,False
2010-10-31,100,False
2010-11-07,62,False
2010-11-14,54,False
2010-11-21,50,False
2010-11-28,0,False
2010-12-05,84,False
2010-12-12,0,False
2010-12-19,0,False
2010-12-26,54,False
