date,/m/06796,isPartial
2009-12-27,0,False
2010-01-03,59,False
2010-01-10,67,False
2010-01-17,50,False
2010-01-24,57,False
2010-01-31,70,False
2010-02-07,38,False
2010-02-14,79,False
2010-02-21,82,False
2010-02-28,67,False
2010-03-07,67,False
2010-03-14,73,False
2010-03-21,56,False
2010-03-28,42,False
2010-04-04,52,False
2010-04-11,57,False
2010-04-18,49,False
2010-04-25,58,False
2010-05-02,78,False
2010-05-09,0,False
2010-05-16,58,False
2010-05-23,67,False
2010-05-30,99,False
2010-06-06,56,False
2010-06-13,59,False
2010-06-20,61,False
2010-06-27,51,False
2010-07-04,0,False
2010-07-11,0,False
2010-07-18,48,False
2010-07-25,35,False
2010-08-01,58,False
2010-08-08,51,False
2010-08-15,91,False
2010-08-22,60,False
2010-08-29,77,False
2010-09-05,81,False
2010-09-12,72,False
2010-09-19,64,False
2010-09-26,87,False
2010-10-03,100,False
2010-10-10,65,False
2010-10-17,56,False
2010-10-24,63,False
2010-10-31,60,False
2010-11-07,35,False
2010-11-14,77,False
2010-11-21,70,False
2010-11-28,55,False
2010-12-05,58,False
2010-12-12,74,False
2010-12-19,38,False
2010-12-26,42,False
