date,/m/03f_cb,isPartial
2010-12-26,64,False
2011-01-02,91,False
2011-01-09,70,False
2011-01-16,74,False
2011-01-23,88,False
2011-01-30,94,False
2011-02-06,81,False
2011-02-13,62,False
2011-02-20,87,False
2011-02-27,72,False
2011-03-06,52,False
2011-03-13,76,False
2011-03-20,87,False
2011-03-27,93,False
2011-04-03,68,False
2011-04-10,95,False
2011-04-17,72,False
2011-04-24,74,False
2011-05-01,79,False
2011-05-08,72,False
2011-05-15,88,False
2011-05-22,74,False
2011-05-29,68,False
2011-06-05,80,False
2011-06-12,65,False
2011-06-19,73,False
2011-06-26,60,False
2011-07-03,55,False
2011-07-10,56,False
2011-07-17,52,False
2011-07-24,92,False
2011-07-31,91,False
2011-08-07,56,False
2011-08-14,89,False
2011-08-21,56,False
2011-08-28,79,False
2011-09-04,90,False
2011-09-11,81,False
2011-09-18,72,False
2011-09-25,80,False
2011-10-02,100,False
2011-10-09,81,False
2011-10-16,68,False
2011-10-23,80,False
2011-10-30,88,False
2011-11-06,73,False
2011-11-13,87,False
2011-11-20,83,False
2011-11-27,86,False
2011-12-04,98,False
2011-12-11,77,False
2011-12-18,89,False
2011-12-25,63,False
