date,/m/06796,isPartial
2010-12-26,59,False
2011-01-02,92,False
2011-01-09,78,False
2011-01-16,57,False
2011-01-23,71,False
2011-01-30,63,False
2011-02-06,84,False
2011-02-13,64,False
2011-02-20,71,False
2011-02-27,53,False
2011-03-06,76,False
2011-03-13,65,False
2011-03-20,81,False
2011-03-27,54,False
2011-04-03,68,False
2011-04-10,66,False
2011-04-17,59,False
2011-04-24,49,False
2011-05-01,77,False
2011-05-08,68,False
2011-05-15,55,False
2011-05-22,81,False
2011-05-29,48,False
2011-06-05,64,False
2011-06-12,75,False
2011-06-19,92,False
2011-06-26,68,False
2011-07-03,72,False
2011-07-10,79,False
2011-07-17,59,False
2011-07-24,97,False
2011-07-31,60,False
2011-08-07,66,False
2011-08-14,56,False
2011-08-21,73,False
2011-08-28,94,False
2011-09-04,77,False
2011-09-11,58,False
2011-09-18,68,False
2011-09-25,95,False
2011-10-02,100,False
2011-10-09,77,False
2011-10-16,84,False
2011-10-23,61,False
2011-10-30,64,False
2011-11-06,46,False
2011-11-13,65,False
2011-11-20,62,False
2011-11-27,69,False
2011-12-04,65,False
2011-12-11,56,False
2011-12-18,75,False
2011-12-25,47,False
