date,/m/06796,isPartial
2010-12-26,42,False
2011-01-02,67,False
2011-01-09,65,False
2011-01-16,69,False
2011-01-23,83,False
2011-01-30,62,False
2011-02-06,52,False
2011-02-13,59,False
2011-02-20,61,False
2011-02-27,60,False
2011-03-06,49,False
2011-03-13,58,False
2011-03-20,63,False
2011-03-27,59,False
2011-04-03,100,False
2011-04-10,75,False
2011-04-17,40,False
2011-04-24,53,False
2011-05-01,58,False
2011-05-08,49,False
2011-05-15,55,False
2011-05-22,74,False
2011-05-29,57,False
2011-06-05,53,False
2011-06-12,56,False
2011-06-19,64,False
2011-06-26,76,False
2011-07-03,45,False
2011-07-10,65,False
2011-07-17,52,False
2011-07-24,54,False
2011-07-31,50,False
2011-08-07,50,False
2011-08-14,46,False
2011-08-21,60,False
2011-08-28,60,False
2011-09-04,62,False
2011-09-11,29,False
2011-09-18,55,False
2011-09-25,58,False
2011-10-02,58,False
2011-10-09,64,False
2011-10-16,73,False
2011-10-23,47,False
2011-10-30,55,False
2011-11-06,61,False
2011-11-13,70,False
2011-11-20,59,False
2011-11-27,52,False
2011-12-04,48,False
2011-12-11,53,False
2011-12-18,34,False
2011-12-25,21,False
