date,/m/03f_cb,isPartial
2012-01-01,72,False
2012-01-08,79,False
2012-01-15,0,False
2012-01-22,65,False
2012-01-29,0,False
2012-02-05,65,False
2012-02-12,88,False
2012-02-19,100,False
2012-02-26,0,False
2012-03-04,65,False
2012-03-11,69,False
2012-03-18,82,False
2012-03-25,65,False
2012-04-01,72,False
2012-04-08,89,False
2012-04-15,0,False
2012-04-22,0,False
2012-04-29,0,False
2012-05-06,67,False
2012-05-13,73,False
2012-05-20,0,False
2012-05-27,0,False
2012-06-03,0,False
2012-06-10,0,False
2012-06-17,0,False
2012-06-24,66,False
2012-07-01,0,False
2012-07-08,0,False
2012-07-15,0,False
2012-07-22,79,False
2012-07-29,0,False
2012-08-05,0,False
2012-08-12,0,False
2012-08-19,0,False
2012-08-26,0,False
2012-09-02,63,False
2012-09-09,0,False
2012-09-16,0,False
2012-09-23,84,False
2012-09-30,0,False
2012-10-07,85,False
2012-10-14,98,False
2012-10-21,70,False
2012-10-28,0,False
2012-11-04,96,False
2012-11-11,0,False
2012-11-18,75,False
2012-11-25,58,False
2012-12-02,0,False
2012-12-09,94,False
2012-12-16,58,False
2012-12-23,0,False
2012-12-30,66,False
