date,/m/03f_cb,isPartial
2012-01-01,59,False
2012-01-08,71,False
2012-01-15,90,False
2012-01-22,69,False
2012-01-29,61,False
2012-02-05,68,False
2012-02-12,61,False
2012-02-19,67,False
2012-02-26,70,False
2012-03-04,100,False
2012-03-11,55,False
2012-03-18,66,False
2012-03-25,73,False
2012-04-01,77,False
2012-04-08,79,False
2012-04-15,82,False
2012-04-22,62,False
2012-04-29,70,False
2012-05-06,64,False
2012-05-13,74,False
2012-05-20,64,False
2012-05-27,62,False
2012-06-03,65,False
2012-06-10,70,False
2012-06-17,62,False
2012-06-24,90,False
2012-07-01,48,False
2012-07-08,69,False
2012-07-15,61,False
2012-07-22,45,False
2012-07-29,69,False
2012-08-05,63,False
2012-08-12,65,False
2012-08-19,63,False
2012-08-26,73,False
2012-09-02,63,False
2012-09-09,84,False
2012-09-16,81,False
2012-09-23,51,False
2012-09-30,65,False
2012-10-07,90,False
2012-10-14,89,False
2012-10-21,61,False
2012-10-28,76,False
2012-11-04,71,False
2012-11-11,74,False
2012-11-18,60,False
2012-11-25,75,False
2012-12-02,57,False
2012-12-09,77,False
2012-12-16,79,False
2012-12-23,63,False
2012-12-30,78,False
