date,/m/0jgxn,isPartial
2012-01-01,50,False
2012-01-08,48,False
2012-01-15,40,False
2012-01-22,73,False
2012-01-29,100,False
2012-02-05,56,False
2012-02-12,58,False
2012-02-19,34,False
2012-02-26,32,False
2012-03-04,41,False
2012-03-11,51,False
2012-03-18,44,False
2012-03-25,32,False
2012-04-01,34,False
2012-04-08,36,False
2012-04-15,55,False
2012-04-22,34,False
2012-04-29,38,False
2012-05-06,40,False
2012-05-13,36,False
2012-05-20,46,False
2012-05-27,41,False
2012-06-03,24,False
2012-06-10,22,False
2012-06-17,24,False
2012-06-24,37,False
2012-07-01,36,False
2012-07-08,33,False
2012-07-15,45,False
2012-07-22,39,False
2012-07-29,34,False
2012-08-05,35,False
2012-08-12,38,False
2012-08-19,44,False
2012-08-26,39,False
2012-09-02,42,False
2012-09-09,57,False
2012-09-16,41,False
2012-09-23,44,False
2012-09-30,40,False
2012-10-07,46,False
2012-10-14,32,False
2012-10-21,25,False
2012-10-28,34,False
2012-11-04,37,False
2012-11-11,29,False
2012-11-18,42,False
2012-11-25,36,False
2012-12-02,21,False
2012-12-09,26,False
2012-12-16,24,False
2012-12-23,27,False
2012-12-30,35,False
