date,/m/0k_9,isPartial
2012-12-30,82,False
2013-01-06,78,False
2013-01-13,74,False
2013-01-20,76,False
2013-01-27,92,False
2013-02-03,64,False
2013-02-10,70,False
2013-02-17,84,False
2013-02-24,73,False
2013-03-03,89,False
2013-03-10,66,False
2013-03-17,79,False
2013-03-24,82,False
2013-03-31,86,False
2013-04-07,82,False
2013-04-14,76,False
2013-04-21,85,False
2013-04-28,93,False
2013-05-05,88,False
2013-05-12,85,False
2013-05-19,75,False
2013-05-26,62,False
2013-06-02,66,False
2013-06-09,79,False
2013-06-16,67,False
2013-06-23,83,False
2013-06-30,76,False
2013-07-07,82,False
2013-07-14,81,False
2013-07-21,75,False
2013-07-28,73,False
2013-08-04,83,False
2013-08-11,66,False
2013-08-18,79,False
2013-08-25,80,False
2013-09-01,91,False
2013-09-08,77,False
2013-09-15,87,False
2013-09-22,94,False
2013-09-29,83,False
2013-10-06,87,False
2013-10-13,84,False
2013-10-20,90,False
2013-10-27,87,False
2013-11-03,96,False
2013-11-10,92,False
2013-11-17,100,False
2013-11-24,80,False
2013-12-01,84,False
2013-12-08,86,False
2013-12-15,80,False
2013-12-22,75,False
2013-12-29,80,False
