date,/m/0jgxn,isPartial
2012-12-30,0,False
2013-01-06,65,False
2013-01-13,56,False
2013-01-20,69,False
2013-01-27,59,False
2013-02-03,60,False
2013-02-10,0,False
2013-02-17,53,False
2013-02-24,100,False
2013-03-03,0,False
2013-03-10,55,False
2013-03-17,49,False
2013-03-24,67,False
2013-03-31,54,False
2013-04-07,44,False
2013-04-14,0,False
2013-04-21,0,False
2013-04-28,0,False
2013-05-05,53,False
2013-05-12,0,False
2013-05-19,66,False
2013-05-26,64,False
2013-06-02,52,False
2013-06-09,0,False
2013-06-16,69,False
2013-06-23,0,False
2013-06-30,0,False
2013-07-07,0,False
2013-07-14,48,False
2013-07-21,62,False
2013-07-28,0,False
2013-08-04,60,False
2013-08-11,65,False
2013-08-18,0,False
2013-08-25,72,False
2013-09-01,89,False
2013-09-08,61,False
2013-09-15,67,False
2013-09-22,0,False
2013-09-29,59,False
2013-10-06,48,False
2013-10-13,96,False
2013-10-20,43,False
2013-10-27,83,False
2013-11-03,78,False
2013-11-10,82,False
2013-11-17,94,False
2013-11-24,88,False
2013-12-01,49,False
2013-12-08,0,False
2013-12-15,68,False
2013-12-22,51,False
2013-12-29,68,False
