date,/m/0jgxn,isPartial
2012-12-30,61,False
2013-01-06,82,False
2013-01-13,84,False
2013-01-20,81,False
2013-01-27,87,False
2013-02-03,87,False
2013-02-10,84,False
2013-02-17,82,False
2013-02-24,77,False
2013-03-03,79,False
2013-03-10,76,False
2013-03-17,87,False
2013-03-24,90,False
2013-03-31,79,False
2013-04-07,85,False
2013-04-14,73,False
2013-04-21,68,False
2013-04-28,66,False
2013-05-05,61,False
2013-05-12,79,False
2013-05-19,77,False
2013-05-26,82,False
2013-06-02,81,False
2013-06-09,78,False
2013-06-16,80,False
2013-06-23,78,False
2013-06-30,67,False
2013-07-07,65,False
2013-07-14,67,False
2013-07-21,64,False
2013-07-28,60,False
2013-08-04,59,False
2013-08-11,63,False
2013-08-18,71,False
2013-08-25,82,False
2013-09-01,90,False
2013-09-08,93,False
2013-09-15,97,False
2013-09-22,95,False
2013-09-29,100,False
2013-10-06,100,False
2013-10-13,100,False
2013-10-20,85,False
2013-10-27,77,False
2013-11-03,96,False
2013-11-10,86,False
2013-11-17,96,False
2013-11-24,96,False
2013-12-01,82,False
2013-12-08,89,False
2013-12-15,83,False
2013-12-22,50,False
2013-12-29,63,False
