date,/m/0jgxn,isPartial
2012-12-30,72,False
2013-01-06,55,False
2013-01-13,59,False
2013-01-20,46,False
2013-01-27,0,False
2013-02-03,48,False
2013-02-10,58,False
2013-02-17,51,False
2013-02-24,40,False
2013-03-03,0,False
2013-03-10,45,False
2013-03-17,0,False
2013-03-24,0,False
2013-03-31,0,False
2013-04-07,51,False
2013-04-14,48,False
2013-04-21,64,False
2013-04-28,0,False
2013-05-05,61,False
2013-05-12,42,False
2013-05-19,0,False
2013-05-26,0,False
2013-06-02,68,False
2013-06-09,43,False
2013-06-16,50,False
2013-06-23,59,False
2013-06-30,0,False
2013-07-07,54,False
2013-07-14,39,False
2013-07-21,44,False
2013-07-28,0,False
2013-08-04,43,False
2013-08-11,0,False
2013-08-18,41,False
2013-08-25,100,False
2013-09-01,41,False
2013-09-08,56,False
2013-09-15,67,False
2013-09-22,79,False
2013-09-29,44,False
2013-10-06,59,False
2013-10-13,45,False
2013-10-20,61,False
2013-10-27,0,False
2013-11-03,50,False
2013-11-10,44,False
2013-11-17,56,False
2013-11-24,50,False
2013-12-01,37,False
2013-12-08,51,False
2013-12-15,37,False
2013-12-22,0,False
2013-12-29,0,False
