date,/m/0k_9,isPartial
2013-12-29,91,False
2014-01-05,95,False
2014-01-12,90,False
2014-01-19,90,False
2014-01-26,86,False
2014-02-02,91,False
2014-02-09,86,False
2014-02-16,89,False
2014-02-23,90,False
2014-03-02,85,False
2014-03-09,91,False
2014-03-16,94,False
2014-03-23,95,False
2014-03-30,96,False
2014-04-06,94,False
2014-04-13,85,False
2014-04-20,95,False
2014-04-27,93,False
2014-05-04,99,False
2014-05-11,94,False
2014-05-18,94,False
2014-05-25,91,False
2014-06-01,96,False
2014-06-08,86,False
2014-06-15,93,False
2014-06-22,96,False
2014-06-29,96,False
2014-07-06,94,False
2014-07-13,94,False
2014-07-20,91,False
2014-07-27,93,False
2014-08-03,86,False
2014-08-10,100,False
2014-08-17,98,False
2014-08-24,98,False
2014-08-31,96,False
2014-09-07,96,False
2014-09-14,100,False
2014-09-21,96,False
2014-09-28,92,False
2014-10-05,97,False
2014-10-12,98,False
2014-10-19,96,False
2014-10-26,87,False
2014-11-02,92,False
2014-11-09,95,False
2014-11-16,95,False
2014-11-23,84,False
2014-11-30,95,False
2014-12-07,84,False
2014-12-14,96,False
2014-12-21,80,False
2014-12-28,80,False
