date,/m/03f_cb,isPartial
2013-12-29,76,False
2014-01-05,84,False
2014-01-12,83,False
2014-01-19,78,False
2014-01-26,72,False
2014-02-02,69,False
2014-02-09,74,False
2014-02-16,75,False
2014-02-23,84,False
2014-03-02,84,False
2014-03-09,82,False
2014-03-16,79,False
2014-03-23,71,False
2014-03-30,80,False
2014-04-06,83,False
2014-04-13,77,False
2014-04-20,77,False
2014-04-27,76,False
2014-05-04,83,False
2014-05-11,85,False
2014-05-18,80,False
2014-05-25,75,False
2014-06-01,77,False
2014-06-08,76,False
2014-06-15,75,False
2014-06-22,76,False
2014-06-29,69,False
2014-07-06,73,False
2014-07-13,67,False
2014-07-20,79,False
2014-07-27,79,False
2014-08-03,78,False
2014-08-10,100,False
2014-08-17,97,False
2014-08-24,87,False
2014-08-31,90,False
2014-09-07,78,False
2014-09-14,77,False
2014-09-21,79,False
2014-09-28,72,False
2014-10-05,74,False
2014-10-12,80,False
2014-10-19,83,False
2014-10-26,79,False
2014-11-02,76,False
2014-11-09,82,False
2014-11-16,82,False
2014-11-23,87,False
2014-11-30,80,False
2014-12-07,80,False
2014-12-14,77,False
2014-12-21,71,False
2014-12-28,80,False
