date,/m/03f_cb,isPartial
2013-12-29,0,False
2014-01-05,57,False
2014-01-12,0,False
2014-01-19,0,False
2014-01-26,57,False
2014-02-02,62,False
2014-02-09,77,False
2014-02-16,64,False
2014-02-23,0,False
2014-03-02,49,False
2014-03-09,58,False
2014-03-16,41,False
2014-03-23,76,False
2014-03-30,64,False
2014-04-06,58,False
2014-04-13,75,False
2014-04-20,45,False
2014-04-27,68,False
2014-05-04,52,False
2014-05-11,49,False
2014-05-18,100,False
2014-05-25,73,False
2014-06-01,47,False
2014-06-08,0,False
2014-06-15,0,False
2014-06-22,52,False
2014-06-29,0,False
2014-07-06,79,False
2014-07-13,58,False
2014-07-20,60,False
2014-07-27,0,False
2014-08-03,62,False
2014-08-10,84,False
2014-08-17,73,False
2014-08-24,0,False
2014-08-31,83,False
2014-09-07,0,False
2014-09-14,67,False
2014-09-21,50,False
2014-09-28,92,False
2014-10-05,42,False
2014-10-12,76,False
2014-10-19,49,False
2014-10-26,96,False
2014-11-02,58,False
2014-11-09,62,False
2014-11-16,59,False
2014-11-23,58,False
2014-11-30,59,False
2014-12-07,52,False
2014-12-14,60,False
2014-12-21,0,False
2014-12-28,59,False
