date,/m/06796,isPartial
2013-12-29,48,False
2014-01-05,93,False
2014-01-12,88,False
2014-01-19,87,False
2014-01-26,88,False
2014-02-02,86,False
2014-02-09,90,False
2014-02-16,88,False
2014-02-23,88,False
2014-03-02,85,False
2014-03-09,84,False
2014-03-16,85,False
2014-03-23,100,False
2014-03-30,84,False
2014-04-06,86,False
2014-04-13,78,False
2014-04-20,78,False
2014-04-27,78,False
2014-05-04,84,False
2014-05-11,86,False
2014-05-18,87,False
2014-05-25,71,False
2014-06-01,78,False
2014-06-08,73,False
2014-06-15,70,False
2014-06-22,79,False
2014-06-29,89,False
2014-07-06,72,False
2014-07-13,75,False
2014-07-20,60,False
2014-07-27,79,False
2014-08-03,79,False
2014-08-10,60,False
2014-08-17,75,False
2014-08-24,64,False
2014-08-31,82,False
2014-09-07,81,False
2014-09-14,88,False
2014-09-21,97,False
2014-09-28,78,False
2014-10-05,81,False
2014-10-12,94,False
2014-10-19,81,False
2014-10-26,92,False
2014-11-02,95,False
2014-11-09,80,False
2014-11-16,100,False
2014-11-23,75,False
2014-11-30,80,False
2014-12-07,65,False
2014-12-14,74,False
2014-12-21,50,False
2014-12-28,47,False
