date,/m/06796,isPartial
2013-12-29,54,False
2014-01-05,100,False
2014-01-12,92,False
2014-01-19,96,False
2014-01-26,99,False
2014-02-02,95,False
2014-02-09,99,False
2014-02-16,95,False
2014-02-23,95,False
2014-03-02,90,False
2014-03-09,85,False
2014-03-16,96,False
2014-03-23,91,False
2014-03-30,89,False
2014-04-06,88,False
2014-04-13,74,False
2014-04-20,74,False
2014-04-27,75,False
2014-05-04,92,False
2014-05-11,91,False
2014-05-18,89,False
2014-05-25,76,False
2014-06-01,81,False
2014-06-08,74,False
2014-06-15,79,False
2014-06-22,83,False
2014-06-29,80,False
2014-07-06,82,False
2014-07-13,84,False
2014-07-20,77,False
2014-07-27,79,False
2014-08-03,81,False
2014-08-10,80,False
2014-08-17,79,False
2014-08-24,85,False
2014-08-31,80,False
2014-09-07,83,False
2014-09-14,88,False
2014-09-21,94,False
2014-09-28,81,False
2014-10-05,91,False
2014-10-12,92,False
2014-10-19,89,False
2014-10-26,87,False
2014-11-02,92,False
2014-11-09,93,False
2014-11-16,98,False
2014-11-23,91,False
2014-11-30,80,False
2014-12-07,84,False
2014-12-14,72,False
2014-12-21,43,False
2014-12-28,52,False
