date,/m/0jgxn,isPartial
2013-12-29,52,False
2014-01-05,75,False
2014-01-12,76,False
2014-01-19,85,False
2014-01-26,82,False
2014-02-02,79,False
2014-02-09,84,False
2014-02-16,100,False
2014-02-23,76,False
2014-03-02,84,False
2014-03-09,65,False
2014-03-16,78,False
2014-03-23,81,False
2014-03-30,78,False
2014-04-06,82,False
2014-04-13,71,False
2014-04-20,76,False
2014-04-27,78,False
2014-05-04,77,False
2014-05-11,85,False
2014-05-18,82,False
2014-05-25,62,False
2014-06-01,71,False
2014-06-08,72,False
2014-06-15,80,False
2014-06-22,67,False
2014-06-29,68,False
2014-07-06,71,False
2014-07-13,64,False
2014-07-20,68,False
2014-07-27,74,False
2014-08-03,80,False
2014-08-10,57,False
2014-08-17,72,False
2014-08-24,69,False
2014-08-31,83,False
2014-09-07,92,False
2014-09-14,79,False
2014-09-21,76,False
2014-09-28,74,False
2014-10-05,84,False
2014-10-12,86,False
2014-10-19,73,False
2014-10-26,74,False
2014-11-02,88,False
2014-11-09,69,False
2014-11-16,86,False
2014-11-23,82,False
2014-11-30,69,False
2014-12-07,80,False
2014-12-14,70,False
2014-12-21,60,False
2014-12-28,64,False
