date,/m/0jgxn,isPartial
2013-12-29,49,False
2014-01-05,84,False
2014-01-12,50,False
2014-01-19,37,False
2014-01-26,55,False
2014-02-02,0,False
2014-02-09,39,False
2014-02-16,40,False
2014-02-23,49,False
2014-03-02,0,False
2014-03-09,0,False
2014-03-16,0,False
2014-03-23,40,False
2014-03-30,0,False
2014-04-06,40,False
2014-04-13,0,False
2014-04-20,0,False
2014-04-27,0,False
2014-05-04,0,False
2014-05-11,62,False
2014-05-18,46,False
2014-05-25,62,False
2014-06-01,46,False
2014-06-08,42,False
2014-06-15,55,False
2014-06-22,46,False
2014-06-29,0,False
2014-07-06,0,False
2014-07-13,0,False
2014-07-20,0,False
2014-07-27,49,False
2014-08-03,50,False
2014-08-10,0,False
2014-08-17,58,False
2014-08-24,74,False
2014-08-31,0,False
2014-09-07,40,False
2014-09-14,65,False
2014-09-21,60,False
2014-09-28,47,False
2014-10-05,43,False
2014-10-12,71,False
2014-10-19,72,False
2014-10-26,53,False
2014-11-02,45,False
2014-11-09,100,False
2014-11-16,52,False
2014-11-23,60,False
2014-11-30,54,False
2014-12-07,0,False
2014-12-14,75,False
2014-12-21,47,False
2014-12-28,0,False
