date,/m/03f_cb,isPartial
2014-12-28,91,False
2015-01-04,88,False
2015-01-11,78,False
2015-01-18,87,False
2015-01-25,79,False
2015-02-01,66,False
2015-02-08,81,False
2015-02-15,83,False
2015-02-22,84,False
2015-03-01,81,False
2015-03-08,91,False
2015-03-15,84,False
2015-03-22,87,False
2015-03-29,80,False
2015-04-05,77,False
2015-04-12,75,False
2015-04-19,77,False
2015-04-26,86,False
2015-05-03,78,False
2015-05-10,73,False
2015-05-17,77,False
2015-05-24,75,False
2015-05-31,73,False
2015-06-07,77,False
2015-06-14,67,False
2015-06-21,72,False
2015-06-28,75,False
2015-07-05,74,False
2015-07-12,84,False
2015-07-19,77,False
2015-07-26,80,False
2015-08-02,89,False
2015-08-09,78,False
2015-08-16,86,False
2015-08-23,83,False
2015-08-30,86,False
2015-09-06,84,False
2015-09-13,80,False
2015-09-20,88,False
2015-09-27,93,False
2015-10-04,97,False
2015-10-11,93,False
2015-10-18,94,False
2015-10-25,98,False
2015-11-01,97,False
2015-11-08,89,False
2015-11-15,91,False
2015-11-22,88,False
2015-11-29,83,False
2015-12-06,97,False
2015-12-13,99,False
2015-12-20,70,False
2015-12-27,100,False
