date,/m/03f_cb,isPartial
2014-12-28,0,False
2015-01-04,53,False
2015-01-11,53,False
2015-01-18,49,False
2015-01-25,0,False
2015-02-01,63,False
2015-02-08,74,False
2015-02-15,67,False
2015-02-22,52,False
2015-03-01,55,False
2015-03-08,68,False
2015-03-15,65,False
2015-03-22,0,False
2015-03-29,0,False
2015-04-05,87,False
2015-04-12,62,False
2015-04-19,0,False
2015-04-26,0,False
2015-05-03,69,False
2015-05-10,54,False
2015-05-17,0,False
2015-05-24,47,False
2015-05-31,0,False
2015-06-07,63,False
2015-06-14,65,False
2015-06-21,81,False
2015-06-28,80,False
2015-07-05,56,False
2015-07-12,53,False
2015-07-19,61,False
2015-07-26,58,False
2015-08-02,0,False
2015-08-09,84,False
2015-08-16,63,False
2015-08-23,88,False
2015-08-30,49,False
2015-09-06,100,False
2015-09-13,76,False
2015-09-20,72,False
2015-09-27,0,False
2015-10-04,51,False
2015-10-11,61,False
2015-10-18,64,False
2015-10-25,56,False
2015-11-01,96,False
2015-11-08,52,False
2015-11-15,54,False
2015-11-22,54,False
2015-11-29,68,False
2015-12-06,84,False
2015-12-13,66,False
2015-12-20,62,False
2015-12-27,0,False
