date,/m/06796,isPartial
2014-12-28,58,False
2015-01-04,76,False
2015-01-11,78,False
2015-01-18,85,False
2015-01-25,79,False
2015-02-01,83,False
2015-02-08,84,False
2015-02-15,88,False
2015-02-22,82,False
2015-03-01,100,False
2015-03-08,84,False
2015-03-15,78,False
2015-03-22,80,False
2015-03-29,84,False
2015-04-05,74,False
2015-04-12,82,False
2015-04-19,85,False
2015-04-26,73,False
2015-05-03,87,False
2015-05-10,78,False
2015-05-17,75,False
2015-05-24,76,False
2015-05-31,62,False
2015-06-07,77,False
2015-06-14,71,False
2015-06-21,66,False
2015-06-28,65,False
2015-07-05,83,False
2015-07-12,58,False
2015-07-19,65,False
2015-07-26,54,False
2015-08-02,57,False
2015-08-09,68,False
2015-08-16,57,False
2015-08-23,69,False
2015-08-30,72,False
2015-09-06,58,False
2015-09-13,89,False
2015-09-20,76,False
2015-09-27,89,False
2015-10-04,80,False
2015-10-11,60,False
2015-10-18,73,False
2015-10-25,74,False
2015-11-01,76,False
2015-11-08,76,False
2015-11-15,73,False
2015-11-22,76,False
2015-11-29,73,False
2015-12-06,69,False
2015-12-13,74,False
2015-12-20,40,False
2015-12-27,53,False
