date,/m/0k_9,isPartial
2015-12-27,64,False
2016-01-03,79,False
2016-01-10,67,False
2016-01-17,66,False
2016-01-24,93,False
2016-01-31,66,False
2016-02-07,60,False
2016-02-14,69,False
2016-02-21,75,False
2016-02-28,54,False
2016-03-06,81,False
2016-03-13,67,False
2016-03-20,84,False
2016-03-27,66,False
2016-04-03,61,False
2016-04-10,86,False
2016-04-17,89,False
2016-04-24,70,False
2016-05-01,87,False
2016-05-08,75,False
2016-05-15,91,False
2016-05-22,74,False
2016-05-29,67,False
2016-06-05,80,False
2016-06-12,100,False
2016-06-19,62,False
2016-06-26,78,False
2016-07-03,71,False
2016-07-10,52,False
2016-07-17,56,False
2016-07-24,67,False
2016-07-31,54,False
2016-08-07,77,False
2016-08-14,53,False
2016-08-21,54,False
2016-08-28,63,False
2016-09-04,97,False
2016-09-11,69,False
2016-09-18,73,False
2016-09-25,88,False
2016-10-02,74,False
2016-10-09,58,False
2016-10-16,83,False
2016-10-23,74,False
2016-10-30,73,False
2016-11-06,62,False
2016-11-13,75,False
2016-11-20,67,False
2016-11-27,75,False
2016-12-04,72,False
2016-12-11,74,False
2016-12-18,61,False
2016-12-25,73,False
