date,/m/0k_9,isPartial
2015-12-27,57,False
2016-01-03,66,False
2016-01-10,58,False
2016-01-17,79,False
2016-01-24,84,False
2016-01-31,67,False
2016-02-07,66,False
2016-02-14,60,False
2016-02-21,75,False
2016-02-28,47,False
2016-03-06,77,False
2016-03-13,63,False
2016-03-20,59,False
2016-03-27,54,False
2016-04-03,51,False
2016-04-10,44,False
2016-04-17,48,False
2016-04-24,77,False
2016-05-01,78,False
2016-05-08,64,False
2016-05-15,87,False
2016-05-22,61,False
2016-05-29,62,False
2016-06-05,53,False
2016-06-12,100,False
2016-06-19,68,False
2016-06-26,33,False
2016-07-03,53,False
2016-07-10,59,False
2016-07-17,64,False
2016-07-24,82,False
2016-07-31,39,False
2016-08-07,39,False
2016-08-14,38,False
2016-08-21,66,False
2016-08-28,60,False
2016-09-04,67,False
2016-09-11,93,False
2016-09-18,79,False
2016-09-25,63,False
2016-10-02,40,False
2016-10-09,100,False
2016-10-16,54,False
2016-10-23,54,False
2016-10-30,72,False
2016-11-06,98,False
2016-11-13,85,False
2016-11-20,69,False
2016-11-27,61,False
2016-12-04,53,False
2016-12-11,39,False
2016-12-18,75,False
2016-12-25,77,False
