date,/m/03f_cb,isPartial
2015-12-27,0,False
2016-01-03,85,False
2016-01-10,43,False
2016-01-17,81,False
2016-01-24,0,False
2016-01-31,56,False
2016-02-07,70,False
2016-02-14,88,False
2016-02-21,44,False
2016-02-28,63,False
2016-03-06,57,False
2016-03-13,0,False
2016-03-20,71,False
2016-03-27,63,False
2016-04-03,65,False
2016-04-10,0,False
2016-04-17,82,False
2016-04-24,55,False
2016-05-01,67,False
2016-05-08,0,False
2016-05-15,63,False
2016-05-22,71,False
2016-05-29,0,False
2016-06-05,42,False
2016-06-12,0,False
2016-06-19,0,False
2016-06-26,53,False
2016-07-03,56,False
2016-07-10,0,False
2016-07-17,61,False
2016-07-24,63,False
2016-07-31,0,False
2016-08-07,50,False
2016-08-14,58,False
2016-08-21,66,False
2016-08-28,56,False
2016-09-04,86,False
2016-09-11,62,False
2016-09-18,66,False
2016-09-25,81,False
2016-10-02,64,False
2016-10-09,47,False
2016-10-16,0,False
2016-10-23,72,False
2016-10-30,99,False
2016-11-06,66,False
2016-11-13,78,False
2016-11-20,97,False
2016-11-27,100,False
2016-12-04,84,False
2016-12-11,68,False
2016-12-18,56,False
2016-12-25,71,False
