date,/m/03f_cb,isPartial
2015-12-27,90,False
2016-01-03,96,False
2016-01-10,87,False
2016-01-17,100,False
2016-01-24,91,False
2016-01-31,86,False
2016-02-07,86,False
2016-02-14,82,False
2016-02-21,90,False
2016-02-28,89,False
2016-03-06,94,False
2016-03-13,89,False
2016-03-20,88,False
2016-03-27,88,False
2016-04-03,91,False
2016-04-10,87,False
2016-04-17,72,False
2016-04-24,90,False
2016-05-01,80,False
2016-05-08,74,False
2016-05-15,90,False
2016-05-22,88,False
2016-05-29,87,False
2016-06-05,74,False
2016-06-12,82,False
2016-06-19,71,False
2016-06-26,69,False
2016-07-03,71,False
2016-07-10,64,False
2016-07-17,74,False
2016-07-24,77,False
2016-07-31,76,False
2016-08-07,80,False
2016-08-14,75,False
2016-08-21,80,False
2016-08-28,81,False
2016-09-04,83,False
2016-09-11,79,False
2016-09-18,85,False
2016-09-25,93,False
2016-10-02,80,False
2016-10-09,83,False
2016-10-16,88,False
2016-10-23,78,False
2016-10-30,60,False
2016-11-06,7,False
2016-11-13,10,False
2016-11-20,7,False
2016-11-27,9,False
2016-12-04,9,False
2016-12-11,6,False
2016-12-18,7,False
2016-12-25,9,False
