date,/m/03f_cb,isPartial
2017-01-01,83,False
2017-01-08,98,False
2017-01-15,72,False
2017-01-22,63,False
2017-01-29,61,False
2017-02-05,69,False
2017-02-12,53,False
2017-02-19,69,False
2017-02-26,71,False
2017-03-05,97,False
2017-03-12,41,False
2017-03-19,60,False
2017-03-26,74,False
2017-04-02,60,False
2017-04-09,78,False
2017-04-16,68,False
2017-04-23,65,False
2017-04-30,72,False
2017-05-07,85,False
2017-05-14,71,False
2017-05-21,88,False
2017-05-28,67,False
2017-06-04,71,False
2017-06-11,62,False
2017-06-18,67,False
2017-06-25,86,False
2017-07-02,50,False
2017-07-09,57,False
2017-07-16,69,False
2017-07-23,71,False
2017-07-30,81,False
2017-08-06,69,False
2017-08-13,55,False
2017-08-20,100,False
2017-08-27,69,False
2017-09-03,71,False
2017-09-10,87,False
2017-09-17,55,False
2017-09-24,58,False
2017-10-01,86,False
2017-10-08,92,False
2017-10-15,97,False
2017-10-22,91,False
2017-10-29,72,False
2017-11-05,65,False
2017-11-12,93,False
2017-11-19,79,False
2017-11-26,80,False
2017-12-03,77,False
2017-12-10,54,False
2017-12-17,64,False
2017-12-24,59,False
2017-12-31,86,False
