date,/m/03f_cb,isPartial
2017-01-01,56,False
2017-01-08,78,False
2017-01-15,56,False
2017-01-22,70,False
2017-01-29,54,False
2017-02-05,50,False
2017-02-12,60,False
2017-02-19,57,False
2017-02-26,75,False
2017-03-05,62,False
2017-03-12,60,False
2017-03-19,67,False
2017-03-26,49,False
2017-04-02,79,False
2017-04-09,72,False
2017-04-16,79,False
2017-04-23,67,False
2017-04-30,83,False
2017-05-07,66,False
2017-05-14,64,False
2017-05-21,61,False
2017-05-28,63,False
2017-06-04,64,False
2017-06-11,63,False
2017-06-18,65,False
2017-06-25,57,False
2017-07-02,80,False
2017-07-09,60,False
2017-07-16,92,False
2017-07-23,58,False
2017-07-30,57,False
2017-08-06,53,False
2017-08-13,81,False
2017-08-20,60,False
2017-08-27,74,False
2017-09-03,55,False
2017-09-10,51,False
2017-09-17,63,False
2017-09-24,57,False
2017-10-01,57,False
2017-10-08,100,False
2017-10-15,81,False
2017-10-22,56,False
2017-10-29,59,False
2017-11-05,62,False
2017-11-12,74,False
2017-11-19,53,False
2017-11-26,54,False
2017-12-03,48,False
2017-12-10,49,False
2017-12-17,60,False
2017-12-24,56,False
2017-12-31,71,False
