date,/m/06796,isPartial
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,87,False
2017-02-05,0,False
2017-02-12,100,False
2017-02-19,0,False
2017-02-26,75,False
2017-03-05,78,False
2017-03-12,80,False
2017-03-19,92,False
2017-03-26,72,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,0,False
2017-05-14,0,False
2017-05-21,0,False
2017-05-28,89,False
2017-06-04,0,False
2017-06-11,79,False
2017-06-18,0,False
2017-06-25,0,False
2017-07-02,0,False
2017-07-09,0,False
2017-07-16,0,False
2017-07-23,98,False
2017-07-30,0,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,0,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,0,False
2017-10-15,0,False
2017-10-22,86,False
2017-10-29,0,False
2017-11-05,0,False
2017-11-12,0,False
2017-11-19,0,False
2017-11-26,93,False
2017-12-03,0,False
2017-12-10,0,False
2017-12-17,78,False
2017-12-24,0,False
2017-12-31,0,False
