date,/m/0jgxn,isPartial
2017-01-01,49,False
2017-01-08,76,False
2017-01-15,55,False
2017-01-22,65,False
2017-01-29,81,False
2017-02-05,73,False
2017-02-12,87,False
2017-02-19,68,False
2017-02-26,80,False
2017-03-05,82,False
2017-03-12,64,False
2017-03-19,91,False
2017-03-26,73,False
2017-04-02,88,False
2017-04-09,68,False
2017-04-16,52,False
2017-04-23,79,False
2017-04-30,90,False
2017-05-07,57,False
2017-05-14,83,False
2017-05-21,59,False
2017-05-28,67,False
2017-06-04,55,False
2017-06-11,80,False
2017-06-18,67,False
2017-06-25,94,False
2017-07-02,91,False
2017-07-09,51,False
2017-07-16,50,False
2017-07-23,64,False
2017-07-30,69,False
2017-08-06,60,False
2017-08-13,65,False
2017-08-20,61,False
2017-08-27,64,False
2017-09-03,74,False
2017-09-10,71,False
2017-09-17,100,False
2017-09-24,86,False
2017-10-01,84,False
2017-10-08,90,False
2017-10-15,82,False
2017-10-22,78,False
2017-10-29,71,False
2017-11-05,90,False
2017-11-12,80,False
2017-11-19,72,False
2017-11-26,65,False
2017-12-03,76,False
2017-12-10,76,False
2017-12-17,74,False
2017-12-24,46,False
2017-12-31,63,False
