date,/m/0jgxn,isPartial
2017-01-01,71,False
2017-01-08,91,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,57,False
2017-02-05,80,False
2017-02-12,83,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,54,False
2017-03-12,63,False
2017-03-19,60,False
2017-03-26,61,False
2017-04-02,56,False
2017-04-09,0,False
2017-04-16,63,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,74,False
2017-05-14,62,False
2017-05-21,0,False
2017-05-28,0,False
2017-06-04,61,False
2017-06-11,0,False
2017-06-18,0,False
2017-06-25,0,False
2017-07-02,64,False
2017-07-09,0,False
2017-07-16,0,False
2017-07-23,0,False
2017-07-30,0,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,0,False
2017-08-27,61,False
2017-09-03,0,False
2017-09-10,100,False
2017-09-17,66,False
2017-09-24,54,False
2017-10-01,0,False
2017-10-08,0,False
2017-10-15,61,False
2017-10-22,62,False
2017-10-29,67,False
2017-11-05,55,False
2017-11-12,76,False
2017-11-19,58,False
2017-11-26,0,False
2017-12-03,67,False
2017-12-10,68,False
2017-12-17,65,False
2017-12-24,0,False
2017-12-31,90,False
