date,/m/0k_9,isPartial
2017-12-31,99,False
2018-01-07,90,False
2018-01-14,79,False
2018-01-21,88,False
2018-01-28,85,False
2018-02-04,85,False
2018-02-11,86,False
2018-02-18,83,False
2018-02-25,86,False
2018-03-04,81,False
2018-03-11,90,False
2018-03-18,81,False
2018-03-25,77,False
2018-04-01,82,False
2018-04-08,89,False
2018-04-15,85,False
2018-04-22,85,False
2018-04-29,81,False
2018-05-06,79,False
2018-05-13,80,False
2018-05-20,80,False
2018-05-27,84,False
2018-06-03,88,False
2018-06-10,85,False
2018-06-17,78,False
2018-06-24,76,False
2018-07-01,77,False
2018-07-08,80,False
2018-07-15,83,False
2018-07-22,85,False
2018-07-29,82,False
2018-08-05,83,False
2018-08-12,84,False
2018-08-19,85,False
2018-08-26,83,False
2018-09-02,86,False
2018-09-09,84,False
2018-09-16,86,False
2018-09-23,80,False
2018-09-30,78,False
2018-10-07,98,False
2018-10-14,86,False
2018-10-21,83,False
2018-10-28,93,False
2018-11-04,86,False
2018-11-11,81,False
2018-11-18,86,False
2018-11-25,87,False
2018-12-02,84,False
2018-12-09,82,False
2018-12-16,79,False
2018-12-23,85,False
2018-12-30,100,False
