date,/m/0k_9,isPartial
2017-12-31,68,False
2018-01-07,78,False
2018-01-14,65,False
2018-01-21,68,False
2018-01-28,62,False
2018-02-04,73,False
2018-02-11,71,False
2018-02-18,77,False
2018-02-25,68,False
2018-03-04,77,False
2018-03-11,70,False
2018-03-18,67,False
2018-03-25,66,False
2018-04-01,77,False
2018-04-08,67,False
2018-04-15,70,False
2018-04-22,77,False
2018-04-29,73,False
2018-05-06,65,False
2018-05-13,71,False
2018-05-20,67,False
2018-05-27,63,False
2018-06-03,63,False
2018-06-10,69,False
2018-06-17,64,False
2018-06-24,76,False
2018-07-01,71,False
2018-07-08,81,False
2018-07-15,75,False
2018-07-22,73,False
2018-07-29,73,False
2018-08-05,94,False
2018-08-12,65,False
2018-08-19,61,False
2018-08-26,73,False
2018-09-02,69,False
2018-09-09,75,False
2018-09-16,79,False
2018-09-23,74,False
2018-09-30,77,False
2018-10-07,68,False
2018-10-14,82,False
2018-10-21,81,False
2018-10-28,81,False
2018-11-04,70,False
2018-11-11,89,False
2018-11-18,72,False
2018-11-25,74,False
2018-12-02,76,False
2018-12-09,75,False
2018-12-16,73,False
2018-12-23,71,False
2018-12-30,100,False
