date,/m/06796,isPartial
2017-12-31,78,False
2018-01-07,87,False
2018-01-14,98,False
2018-01-21,100,False
2018-01-28,89,False
2018-02-04,85,False
2018-02-11,92,False
2018-02-18,89,False
2018-02-25,75,False
2018-03-04,95,False
2018-03-11,86,False
2018-03-18,78,False
2018-03-25,89,False
2018-04-01,76,False
2018-04-08,91,False
2018-04-15,73,False
2018-04-22,80,False
2018-04-29,72,False
2018-05-06,68,False
2018-05-13,84,False
2018-05-20,78,False
2018-05-27,83,False
2018-06-03,86,False
2018-06-10,86,False
2018-06-17,79,False
2018-06-24,80,False
2018-07-01,67,False
2018-07-08,62,False
2018-07-15,67,False
2018-07-22,66,False
2018-07-29,65,False
2018-08-05,76,False
2018-08-12,84,False
2018-08-19,78,False
2018-08-26,78,False
2018-09-02,80,False
2018-09-09,82,False
2018-09-16,91,False
2018-09-23,95,False
2018-09-30,92,False
2018-10-07,99,False
2018-10-14,88,False
2018-10-21,89,False
2018-10-28,81,False
2018-11-04,94,False
2018-11-11,84,False
2018-11-18,87,False
2018-11-25,99,False
2018-12-02,83,False
2018-12-09,94,False
2018-12-16,87,False
2018-12-23,62,False
2018-12-30,72,False
