date,/m/06796,isPartial
2017-12-31,72,False
2018-01-07,100,False
2018-01-14,89,False
2018-01-21,90,False
2018-01-28,96,False
2018-02-04,93,False
2018-02-11,87,False
2018-02-18,74,False
2018-02-25,53,False
2018-03-04,57,False
2018-03-11,57,False
2018-03-18,56,False
2018-03-25,48,False
2018-04-01,53,False
2018-04-08,54,False
2018-04-15,52,False
2018-04-22,51,False
2018-04-29,45,False
2018-05-06,51,False
2018-05-13,59,False
2018-05-20,56,False
2018-05-27,47,False
2018-06-03,49,False
2018-06-10,61,False
2018-06-17,54,False
2018-06-24,59,False
2018-07-01,49,False
2018-07-08,49,False
2018-07-15,47,False
2018-07-22,45,False
2018-07-29,40,False
2018-08-05,32,False
2018-08-12,31,False
2018-08-19,48,False
2018-08-26,47,False
2018-09-02,57,False
2018-09-09,55,False
2018-09-16,80,False
2018-09-23,64,False
2018-09-30,77,False
2018-10-07,64,False
2018-10-14,69,False
2018-10-21,74,False
2018-10-28,58,False
2018-11-04,74,False
2018-11-11,76,False
2018-11-18,68,False
2018-11-25,78,False
2018-12-02,71,False
2018-12-09,71,False
2018-12-16,67,False
2018-12-23,59,False
2018-12-30,67,False
