date,/m/0jgxn,isPartial
2017-12-31,79,False
2018-01-07,97,False
2018-01-14,95,False
2018-01-21,96,False
2018-01-28,100,False
2018-02-04,97,False
2018-02-11,87,False
2018-02-18,92,False
2018-02-25,90,False
2018-03-04,89,False
2018-03-11,91,False
2018-03-18,90,False
2018-03-25,89,False
2018-04-01,85,False
2018-04-08,89,False
2018-04-15,95,False
2018-04-22,77,False
2018-04-29,82,False
2018-05-06,74,False
2018-05-13,86,False
2018-05-20,81,False
2018-05-27,83,False
2018-06-03,94,False
2018-06-10,93,False
2018-06-17,86,False
2018-06-24,83,False
2018-07-01,85,False
2018-07-08,76,False
2018-07-15,84,False
2018-07-22,67,False
2018-07-29,81,False
2018-08-05,71,False
2018-08-12,80,False
2018-08-19,84,False
2018-08-26,86,False
2018-09-02,90,False
2018-09-09,96,False
2018-09-16,90,False
2018-09-23,84,False
2018-09-30,91,False
2018-10-07,95,False
2018-10-14,90,False
2018-10-21,90,False
2018-10-28,89,False
2018-11-04,96,False
2018-11-11,96,False
2018-11-18,92,False
2018-11-25,95,False
2018-12-02,86,False
2018-12-09,92,False
2018-12-16,89,False
2018-12-23,57,False
2018-12-30,79,False
