date,/m/0k_9,isPartial
2018-12-30,77,False
2019-01-06,77,False
2019-01-13,74,False
2019-01-20,83,False
2019-01-27,88,False
2019-02-03,86,False
2019-02-10,87,False
2019-02-17,90,False
2019-02-24,93,False
2019-03-03,89,False
2019-03-10,91,False
2019-03-17,100,False
2019-03-24,97,False
2019-03-31,92,False
2019-04-07,89,False
2019-04-14,76,False
2019-04-21,89,False
2019-04-28,87,False
2019-05-05,93,False
2019-05-12,90,False
2019-05-19,92,False
2019-05-26,85,False
2019-06-02,90,False
2019-06-09,96,False
2019-06-16,90,False
2019-06-23,80,False
2019-06-30,87,False
2019-07-07,87,False
2019-07-14,85,False
2019-07-21,88,False
2019-07-28,81,False
2019-08-04,87,False
2019-08-11,89,False
2019-08-18,85,False
2019-08-25,86,False
2019-09-01,88,False
2019-09-08,82,False
2019-09-15,93,False
2019-09-22,88,False
2019-09-29,95,False
2019-10-06,93,False
2019-10-13,85,False
2019-10-20,82,False
2019-10-27,89,False
2019-11-03,86,False
2019-11-10,85,False
2019-11-17,84,False
2019-11-24,85,False
2019-12-01,80,False
2019-12-08,84,False
2019-12-15,89,False
2019-12-22,75,False
2019-12-29,85,False
