date,/m/0k_9,isPartial
2018-12-30,65,False
2019-01-06,70,False
2019-01-13,61,False
2019-01-20,78,False
2019-01-27,90,False
2019-02-03,100,False
2019-02-10,46,False
2019-02-17,69,False
2019-02-24,48,False
2019-03-03,61,False
2019-03-10,89,False
2019-03-17,68,False
2019-03-24,53,False
2019-03-31,52,False
2019-04-07,86,False
2019-04-14,88,False
2019-04-21,53,False
2019-04-28,93,False
2019-05-05,46,False
2019-05-12,73,False
2019-05-19,70,False
2019-05-26,63,False
2019-06-02,77,False
2019-06-09,72,False
2019-06-16,63,False
2019-06-23,66,False
2019-06-30,54,False
2019-07-07,72,False
2019-07-14,88,False
2019-07-21,70,False
2019-07-28,96,False
2019-08-04,78,False
2019-08-11,70,False
2019-08-18,84,False
2019-08-25,85,False
2019-09-01,63,False
2019-09-08,57,False
2019-09-15,52,False
2019-09-22,61,False
2019-09-29,52,False
2019-10-06,80,False
2019-10-13,90,False
2019-10-20,82,False
2019-10-27,79,False
2019-11-03,60,False
2019-11-10,63,False
2019-11-17,58,False
2019-11-24,63,False
2019-12-01,58,False
2019-12-08,77,False
2019-12-15,82,False
2019-12-22,64,False
2019-12-29,67,False
