date,/m/06796,isPartial
2018-12-30,56,False
2019-01-06,56,False
2019-01-13,78,False
2019-01-20,84,False
2019-01-27,64,False
2019-02-03,75,False
2019-02-10,68,False
2019-02-17,85,False
2019-02-24,61,False
2019-03-03,87,False
2019-03-10,70,False
2019-03-17,74,False
2019-03-24,74,False
2019-03-31,80,False
2019-04-07,89,False
2019-04-14,71,False
2019-04-21,56,False
2019-04-28,56,False
2019-05-05,74,False
2019-05-12,68,False
2019-05-19,71,False
2019-05-26,65,False
2019-06-02,58,False
2019-06-09,62,False
2019-06-16,70,False
2019-06-23,68,False
2019-06-30,72,False
2019-07-07,77,False
2019-07-14,51,False
2019-07-21,68,False
2019-07-28,57,False
2019-08-04,51,False
2019-08-11,78,False
2019-08-18,70,False
2019-08-25,67,False
2019-09-01,81,False
2019-09-08,95,False
2019-09-15,74,False
2019-09-22,81,False
2019-09-29,78,False
2019-10-06,73,False
2019-10-13,100,False
2019-10-20,95,False
2019-10-27,67,False
2019-11-03,73,False
2019-11-10,70,False
2019-11-17,64,False
2019-11-24,82,False
2019-12-01,58,False
2019-12-08,60,False
2019-12-15,49,False
2019-12-22,43,False
2019-12-29,54,False
