date,/m/03f_cb,isPartial
2019-12-29,41,False
2020-01-05,37,False
2020-01-12,54,False
2020-01-19,67,False
2020-01-26,37,False
2020-02-02,41,False
2020-02-09,44,False
2020-02-16,45,False
2020-02-23,50,False
2020-03-01,61,False
2020-03-08,31,False
2020-03-15,24,False
2020-03-22,29,False
2020-03-29,28,False
2020-04-05,35,False
2020-04-12,29,False
2020-04-19,32,False
2020-04-26,35,False
2020-05-03,37,False
2020-05-10,37,False
2020-05-17,34,False
2020-05-24,32,False
2020-05-31,39,False
2020-06-07,37,False
2020-06-14,50,False
2020-06-21,77,False
2020-06-28,46,False
2020-07-05,41,False
2020-07-12,40,False
2020-07-19,34,False
2020-07-26,39,False
2020-08-02,38,False
2020-08-09,35,False
2020-08-16,80,False
2020-08-23,39,False
2020-08-30,56,False
2020-09-06,45,False
2020-09-13,47,False
2020-09-20,34,False
2020-09-27,67,False
2020-10-04,40,False
2020-10-11,35,False
2020-10-18,100,False
2020-10-25,36,False
2020-11-01,34,False
2020-11-08,42,False
2020-11-15,46,False
2020-11-22,44,False
2020-11-29,65,False
2020-12-06,51,False
2020-12-13,39,False
2020-12-20,32,False
2020-12-27,38,False
