date,/m/06796,isPartial
2019-12-29,85,False
2020-01-05,79,False
2020-01-12,90,False
2020-01-19,65,False
2020-01-26,62,False
2020-02-02,59,False
2020-02-09,77,False
2020-02-16,100,False
2020-02-23,81,False
2020-03-01,65,False
2020-03-08,51,False
2020-03-15,44,False
2020-03-22,33,False
2020-03-29,56,False
2020-04-05,33,False
2020-04-12,61,False
2020-04-19,74,False
2020-04-26,58,False
2020-05-03,53,False
2020-05-10,61,False
2020-05-17,65,False
2020-05-24,67,False
2020-05-31,52,False
2020-06-07,74,False
2020-06-14,91,False
2020-06-21,80,False
2020-06-28,94,False
2020-07-05,92,False
2020-07-12,86,False
2020-07-19,68,False
2020-07-26,87,False
2020-08-02,81,False
2020-08-09,97,False
2020-08-16,82,False
2020-08-23,98,False
2020-08-30,95,False
2020-09-06,91,False
2020-09-13,87,False
2020-09-20,99,False
2020-09-27,56,False
2020-10-04,90,False
2020-10-11,65,False
2020-10-18,62,False
2020-10-25,52,False
2020-11-01,61,False
2020-11-08,64,False
2020-11-15,99,False
2020-11-22,77,False
2020-11-29,70,False
2020-12-06,94,False
2020-12-13,86,False
2020-12-20,0,False
2020-12-27,58,False
