date,/m/0jgxn,isPartial
2019-12-29,52,False
2020-01-05,65,False
2020-01-12,69,False
2020-01-19,73,False
2020-01-26,79,False
2020-02-02,85,False
2020-02-09,86,False
2020-02-16,83,False
2020-02-23,73,False
2020-03-01,70,False
2020-03-08,55,False
2020-03-15,45,False
2020-03-22,45,False
2020-03-29,41,False
2020-04-05,41,False
2020-04-12,42,False
2020-04-19,55,False
2020-04-26,64,False
2020-05-03,66,False
2020-05-10,72,False
2020-05-17,74,False
2020-05-24,72,False
2020-05-31,71,False
2020-06-07,76,False
2020-06-14,85,False
2020-06-21,81,False
2020-06-28,74,False
2020-07-05,74,False
2020-07-12,74,False
2020-07-19,74,False
2020-07-26,76,False
2020-08-02,59,False
2020-08-09,50,False
2020-08-16,82,False
2020-08-23,91,False
2020-08-30,88,False
2020-09-06,100,False
2020-09-13,82,False
2020-09-20,92,False
2020-09-27,84,False
2020-10-04,85,False
2020-10-11,87,False
2020-10-18,78,False
2020-10-25,69,False
2020-11-01,69,False
2020-11-08,62,False
2020-11-15,60,False
2020-11-22,67,False
2020-11-29,68,False
2020-12-06,70,False
2020-12-13,64,False
2020-12-20,62,False
2020-12-27,69,False
