date,/m/0k_9,isPartial
2020-12-27,0,False
2021-01-03,0,False
2021-01-10,62,False
2021-01-17,83,False
2021-01-24,71,False
2021-01-31,0,False
2021-02-07,52,False
2021-02-14,0,False
2021-02-21,50,False
2021-02-28,51,False
2021-03-07,0,False
2021-03-14,65,False
2021-03-21,60,False
2021-03-28,74,False
2021-04-04,0,False
2021-04-11,0,False
2021-04-18,45,False
2021-04-25,0,False
2021-05-02,50,False
2021-05-09,0,False
2021-05-16,58,False
2021-05-23,63,False
2021-05-30,77,False
2021-06-06,61,False
2021-06-13,45,False
2021-06-20,56,False
2021-06-27,0,False
2021-07-04,0,False
2021-07-11,57,False
2021-07-18,100,False
2021-07-25,47,False
2021-08-01,49,False
2021-08-08,71,False
2021-08-15,57,False
2021-08-22,0,False
2021-08-29,59,False
2021-09-05,67,False
2021-09-12,0,False
2021-09-19,73,False
2021-09-26,56,False
2021-10-03,48,False
2021-10-10,50,False
2021-10-17,0,False
2021-10-24,0,False
2021-10-31,54,False
2021-11-07,0,False
2021-11-14,0,False
2021-11-21,0,False
2021-11-28,0,False
2021-12-05,0,False
2021-12-12,0,False
2021-12-19,0,False
2021-12-26,0,False
