date,/m/0k_9,isPartial
2020-12-27,68,False
2021-01-03,89,False
2021-01-10,77,False
2021-01-17,79,False
2021-01-24,76,False
2021-01-31,80,False
2021-02-07,82,False
2021-02-14,94,False
2021-02-21,88,False
2021-02-28,87,False
2021-03-07,75,False
2021-03-14,76,False
2021-03-21,100,False
2021-03-28,82,False
2021-04-04,86,False
2021-04-11,82,False
2021-04-18,87,False
2021-04-25,84,False
2021-05-02,76,False
2021-05-09,87,False
2021-05-16,75,False
2021-05-23,77,False
2021-05-30,79,False
2021-06-06,70,False
2021-06-13,76,False
2021-06-20,70,False
2021-06-27,56,False
2021-07-04,66,False
2021-07-11,61,False
2021-07-18,73,False
2021-07-25,62,False
2021-08-01,72,False
2021-08-08,77,False
2021-08-15,81,False
2021-08-22,80,False
2021-08-29,83,False
2021-09-05,84,False
2021-09-12,87,False
2021-09-19,81,False
2021-09-26,70,False
2021-10-03,83,False
2021-10-10,75,False
2021-10-17,82,False
2021-10-24,75,False
2021-10-31,83,False
2021-11-07,79,False
2021-11-14,71,False
2021-11-21,78,False
2021-11-28,73,False
2021-12-05,85,False
2021-12-12,78,False
2021-12-19,64,False
2021-12-26,65,False
