date,/m/0k_9,isPartial
2020-12-27,79,False
2021-01-03,85,False
2021-01-10,89,False
2021-01-17,85,False
2021-01-24,90,False
2021-01-31,90,False
2021-02-07,77,False
2021-02-14,90,False
2021-02-21,83,False
2021-02-28,100,False
2021-03-07,82,False
2021-03-14,89,False
2021-03-21,86,False
2021-03-28,81,False
2021-04-04,97,False
2021-04-11,93,False
2021-04-18,92,False
2021-04-25,100,False
2021-05-02,84,False
2021-05-09,95,False
2021-05-16,79,False
2021-05-23,81,False
2021-05-30,84,False
2021-06-06,81,False
2021-06-13,82,False
2021-06-20,79,False
2021-06-27,87,False
2021-07-04,89,False
2021-07-11,78,False
2021-07-18,66,False
2021-07-25,88,False
2021-08-01,73,False
2021-08-08,82,False
2021-08-15,75,False
2021-08-22,73,False
2021-08-29,80,False
2021-09-05,87,False
2021-09-12,88,False
2021-09-19,88,False
2021-09-26,74,False
2021-10-03,77,False
2021-10-10,86,False
2021-10-17,90,False
2021-10-24,75,False
2021-10-31,74,False
2021-11-07,83,False
2021-11-14,87,False
2021-11-21,70,False
2021-11-28,76,False
2021-12-05,89,False
2021-12-12,88,False
2021-12-19,75,False
2021-12-26,76,False
