date,/m/03f_cb,isPartial
2020-12-27,23,False
2021-01-03,26,False
2021-01-10,28,False
2021-01-17,32,False
2021-01-24,28,False
2021-01-31,28,False
2021-02-07,31,False
2021-02-14,27,False
2021-02-21,29,False
2021-02-28,26,False
2021-03-07,25,False
2021-03-14,33,False
2021-03-21,28,False
2021-03-28,33,False
2021-04-04,52,False
2021-04-11,61,False
2021-04-18,60,False
2021-04-25,56,False
2021-05-02,56,False
2021-05-09,54,False
2021-05-16,54,False
2021-05-23,59,False
2021-05-30,58,False
2021-06-06,51,False
2021-06-13,56,False
2021-06-20,58,False
2021-06-27,52,False
2021-07-04,59,False
2021-07-11,66,False
2021-07-18,56,False
2021-07-25,55,False
2021-08-01,60,False
2021-08-08,70,False
2021-08-15,72,False
2021-08-22,80,False
2021-08-29,75,False
2021-09-05,100,False
2021-09-12,82,False
2021-09-19,50,False
2021-09-26,53,False
2021-10-03,45,False
2021-10-10,49,False
2021-10-17,57,False
2021-10-24,58,False
2021-10-31,54,False
2021-11-07,63,False
2021-11-14,59,False
2021-11-21,51,False
2021-11-28,47,False
2021-12-05,57,False
2021-12-12,58,False
2021-12-19,56,False
2021-12-26,58,False
