date,/m/0k_9,isPartial
2021-12-26,69,False
2022-01-02,86,False
2022-01-09,85,False
2022-01-16,78,False
2022-01-23,84,False
2022-01-30,84,False
2022-02-06,80,False
2022-02-13,86,False
2022-02-20,93,False
2022-02-27,96,False
2022-03-06,93,False
2022-03-13,92,False
2022-03-20,90,False
2022-03-27,92,False
2022-04-03,100,False
2022-04-10,87,False
2022-04-17,84,False
2022-04-24,84,False
2022-05-01,89,False
2022-05-08,78,False
2022-05-15,79,False
2022-05-22,73,False
2022-05-29,81,False
2022-06-05,77,False
2022-06-12,79,False
2022-06-19,94,False
2022-06-26,80,False
2022-07-03,80,False
2022-07-10,76,False
2022-07-17,77,False
2022-07-24,86,False
2022-07-31,81,False
2022-08-07,77,False
2022-08-14,86,False
2022-08-21,87,False
2022-08-28,86,False
2022-09-04,87,False
2022-09-11,82,False
2022-09-18,85,False
2022-09-25,79,False
2022-10-02,85,False
2022-10-09,99,False
2022-10-16,90,False
2022-10-23,88,False
2022-10-30,83,False
2022-11-06,91,False
2022-11-13,98,False
2022-11-20,84,False
2022-11-27,78,False
2022-12-04,79,False
2022-12-11,82,False
2022-12-18,75,False
2022-12-25,85,False
