date,/m/0k_9,isPartial
2021-12-26,86,False
2022-01-02,94,False
2022-01-09,74,False
2022-01-16,94,False
2022-01-23,65,False
2022-01-30,81,False
2022-02-06,81,False
2022-02-13,85,False
2022-02-20,70,False
2022-02-27,90,False
2022-03-06,85,False
2022-03-13,86,False
2022-03-20,81,False
2022-03-27,89,False
2022-04-03,78,False
2022-04-10,81,False
2022-04-17,78,False
2022-04-24,68,False
2022-05-01,71,False
2022-05-08,73,False
2022-05-15,63,False
2022-05-22,65,False
2022-05-29,81,False
2022-06-05,85,False
2022-06-12,71,False
2022-06-19,88,False
2022-06-26,67,False
2022-07-03,67,False
2022-07-10,69,False
2022-07-17,72,False
2022-07-24,73,False
2022-07-31,87,False
2022-08-07,77,False
2022-08-14,81,False
2022-08-21,82,False
2022-08-28,84,False
2022-09-04,80,False
2022-09-11,72,False
2022-09-18,73,False
2022-09-25,70,False
2022-10-02,66,False
2022-10-09,77,False
2022-10-16,84,False
2022-10-23,98,False
2022-10-30,82,False
2022-11-06,75,False
2022-11-13,100,False
2022-11-20,74,False
2022-11-27,72,False
2022-12-04,65,False
2022-12-11,58,False
2022-12-18,58,False
2022-12-25,69,False
