date,/m/0k_9,isPartial
2021-12-26,96,False
2022-01-02,55,False
2022-01-09,85,False
2022-01-16,71,False
2022-01-23,87,False
2022-01-30,80,False
2022-02-06,74,False
2022-02-13,68,False
2022-02-20,78,False
2022-02-27,92,False
2022-03-06,85,False
2022-03-13,85,False
2022-03-20,76,False
2022-03-27,71,False
2022-04-03,80,False
2022-04-10,81,False
2022-04-17,72,False
2022-04-24,73,False
2022-05-01,69,False
2022-05-08,72,False
2022-05-15,66,False
2022-05-22,72,False
2022-05-29,58,False
2022-06-05,57,False
2022-06-12,67,False
2022-06-19,61,False
2022-06-26,64,False
2022-07-03,51,False
2022-07-10,77,False
2022-07-17,53,False
2022-07-24,57,False
2022-07-31,76,False
2022-08-07,67,False
2022-08-14,60,False
2022-08-21,66,False
2022-08-28,68,False
2022-09-04,71,False
2022-09-11,58,False
2022-09-18,59,False
2022-09-25,59,False
2022-10-02,58,False
2022-10-09,71,False
2022-10-16,85,False
2022-10-23,79,False
2022-10-30,74,False
2022-11-06,100,False
2022-11-13,72,False
2022-11-20,87,False
2022-11-27,68,False
2022-12-04,81,False
2022-12-11,62,False
2022-12-18,63,False
2022-12-25,65,False
