date,/m/0k_9,isPartial
2021-12-26,0,False
2022-01-02,0,False
2022-01-09,0,False
2022-01-16,57,False
2022-01-23,67,False
2022-01-30,48,False
2022-02-06,60,False
2022-02-13,37,False
2022-02-20,57,False
2022-02-27,66,False
2022-03-06,65,False
2022-03-13,55,False
2022-03-20,57,False
2022-03-27,43,False
2022-04-03,46,False
2022-04-10,54,False
2022-04-17,66,False
2022-04-24,63,False
2022-05-01,42,False
2022-05-08,50,False
2022-05-15,43,False
2022-05-22,59,False
2022-05-29,84,False
2022-06-05,39,False
2022-06-12,40,False
2022-06-19,77,False
2022-06-26,40,False
2022-07-03,41,False
2022-07-10,36,False
2022-07-17,65,False
2022-07-24,43,False
2022-07-31,71,False
2022-08-07,0,False
2022-08-14,61,False
2022-08-21,0,False
2022-08-28,54,False
2022-09-04,78,False
2022-09-11,47,False
2022-09-18,37,False
2022-09-25,49,False
2022-10-02,52,False
2022-10-09,65,False
2022-10-16,43,False
2022-10-23,54,False
2022-10-30,42,False
2022-11-06,100,False
2022-11-13,35,False
2022-11-20,38,False
2022-11-27,55,False
2022-12-04,0,False
2022-12-11,0,False
2022-12-18,0,False
2022-12-25,46,False
