date,/m/0jgxn,isPartial
2021-12-26,0,False
2022-01-02,68,False
2022-01-09,51,False
2022-01-16,82,False
2022-01-23,67,False
2022-01-30,51,False
2022-02-06,50,False
2022-02-13,63,False
2022-02-20,74,False
2022-02-27,46,False
2022-03-06,50,False
2022-03-13,65,False
2022-03-20,30,False
2022-03-27,55,False
2022-04-03,77,False
2022-04-10,74,False
2022-04-17,62,False
2022-04-24,51,False
2022-05-01,95,False
2022-05-08,57,False
2022-05-15,38,False
2022-05-22,78,False
2022-05-29,64,False
2022-06-05,45,False
2022-06-12,50,False
2022-06-19,62,False
2022-06-26,68,False
2022-07-03,63,False
2022-07-10,50,False
2022-07-17,50,False
2022-07-24,56,False
2022-07-31,91,False
2022-08-07,57,False
2022-08-14,63,False
2022-08-21,53,False
2022-08-28,100,False
2022-09-04,63,False
2022-09-11,72,False
2022-09-18,90,False
2022-09-25,75,False
2022-10-02,70,False
2022-10-09,74,False
2022-10-16,76,False
2022-10-23,57,False
2022-10-30,60,False
2022-11-06,79,False
2022-11-13,80,False
2022-11-20,71,False
2022-11-27,80,False
2022-12-04,81,False
2022-12-11,91,False
2022-12-18,52,False
2022-12-25,52,False
