date,/m/0k_9,isPartial
2023-01-01,66,False
2023-01-08,77,False
2023-01-15,76,False
2023-01-22,74,False
2023-01-29,68,False
2023-02-05,63,False
2023-02-12,63,False
2023-02-19,77,False
2023-02-26,66,False
2023-03-05,70,False
2023-03-12,73,False
2023-03-19,76,False
2023-03-26,66,False
2023-04-02,68,False
2023-04-09,75,False
2023-04-16,78,False
2023-04-23,71,False
2023-04-30,74,False
2023-05-07,70,False
2023-05-14,70,False
2023-05-21,71,False
2023-05-28,66,False
2023-06-04,63,False
2023-06-11,69,False
2023-06-18,61,False
2023-06-25,67,False
2023-07-02,66,False
2023-07-09,61,False
2023-07-16,65,False
2023-07-23,66,False
2023-07-30,60,False
2023-08-06,63,False
2023-08-13,58,False
2023-08-20,57,False
2023-08-27,68,False
2023-09-03,71,False
2023-09-10,71,False
2023-09-17,70,False
2023-09-24,66,False
2023-10-01,71,False
2023-10-08,70,False
2023-10-15,70,False
2023-10-22,69,False
2023-10-29,65,False
2023-11-05,80,False
2023-11-12,70,False
2023-11-19,62,False
2023-11-26,69,False
2023-12-03,63,False
2023-12-10,63,False
2023-12-17,100,False
2023-12-24,68,False
2023-12-31,67,False
