date,/m/0k_9,isPartial
2023-01-01,73,False
2023-01-08,58,False
2023-01-15,67,False
2023-01-22,65,False
2023-01-29,59,False
2023-02-05,65,False
2023-02-12,55,False
2023-02-19,50,False
2023-02-26,58,False
2023-03-05,58,False
2023-03-12,64,False
2023-03-19,60,False
2023-03-26,65,False
2023-04-02,81,False
2023-04-09,71,False
2023-04-16,75,False
2023-04-23,71,False
2023-04-30,72,False
2023-05-07,70,False
2023-05-14,76,False
2023-05-21,75,False
2023-05-28,82,False
2023-06-04,76,False
2023-06-11,53,False
2023-06-18,68,False
2023-06-25,73,False
2023-07-02,79,False
2023-07-09,82,False
2023-07-16,80,False
2023-07-23,72,False
2023-07-30,71,False
2023-08-06,100,False
2023-08-13,94,False
2023-08-20,92,False
2023-08-27,89,False
2023-09-03,72,False
2023-09-10,80,False
2023-09-17,59,False
2023-09-24,66,False
2023-10-01,75,False
2023-10-08,60,False
2023-10-15,71,False
2023-10-22,78,False
2023-10-29,62,False
2023-11-05,65,False
2023-11-12,75,False
2023-11-19,68,False
2023-11-26,69,False
2023-12-03,72,False
2023-12-10,65,False
2023-12-17,56,False
2023-12-24,60,False
2023-12-31,69,False
