date,/m/0k_9,isPartial
2023-01-01,38,False
2023-01-08,49,False
2023-01-15,36,False
2023-01-22,54,False
2023-01-29,38,False
2023-02-05,33,False
2023-02-12,37,False
2023-02-19,43,False
2023-02-26,53,False
2023-03-05,43,False
2023-03-12,61,False
2023-03-19,49,False
2023-03-26,49,False
2023-04-02,50,False
2023-04-09,46,False
2023-04-16,41,False
2023-04-23,43,False
2023-04-30,57,False
2023-05-07,37,False
2023-05-14,56,False
2023-05-21,49,False
2023-05-28,100,False
2023-06-04,56,False
2023-06-11,45,False
2023-06-18,32,False
2023-06-25,29,False
2023-07-02,54,False
2023-07-09,30,False
2023-07-16,28,False
2023-07-23,52,False
2023-07-30,38,False
2023-08-06,28,False
2023-08-13,38,False
2023-08-20,53,False
2023-08-27,42,False
2023-09-03,43,False
2023-09-10,36,False
2023-09-17,52,False
2023-09-24,41,False
2023-10-01,43,False
2023-10-08,52,False
2023-10-15,39,False
2023-10-22,48,False
2023-10-29,44,False
2023-11-05,29,False
2023-11-12,43,False
2023-11-19,45,False
2023-11-26,89,False
2023-12-03,48,False
2023-12-10,51,False
2023-12-17,43,False
2023-12-24,36,False
2023-12-31,54,False
