date,/m/03f_cb,isPartial
2023-01-01,63,False
2023-01-08,61,False
2023-01-15,64,False
2023-01-22,61,False
2023-01-29,82,False
2023-02-05,58,False
2023-02-12,54,False
2023-02-19,49,False
2023-02-26,63,False
2023-03-05,72,False
2023-03-12,72,False
2023-03-19,76,False
2023-03-26,85,False
2023-04-02,80,False
2023-04-09,72,False
2023-04-16,81,False
2023-04-23,73,False
2023-04-30,65,False
2023-05-07,77,False
2023-05-14,74,False
2023-05-21,100,False
2023-05-28,85,False
2023-06-04,64,False
2023-06-11,62,False
2023-06-18,59,False
2023-06-25,51,False
2023-07-02,56,False
2023-07-09,72,False
2023-07-16,60,False
2023-07-23,57,False
2023-07-30,66,False
2023-08-06,69,False
2023-08-13,71,False
2023-08-20,70,False
2023-08-27,55,False
2023-09-03,56,False
2023-09-10,71,False
2023-09-17,65,False
2023-09-24,70,False
2023-10-01,65,False
2023-10-08,60,False
2023-10-15,62,False
2023-10-22,56,False
2023-10-29,81,False
2023-11-05,66,False
2023-11-12,85,False
2023-11-19,71,False
2023-11-26,77,False
2023-12-03,82,False
2023-12-10,77,False
2023-12-17,68,False
2023-12-24,68,False
2023-12-31,89,False
