date,/m/03f_cb,isPartial
2023-01-01,71,False
2023-01-08,76,False
2023-01-15,71,False
2023-01-22,51,False
2023-01-29,42,False
2023-02-05,63,False
2023-02-12,48,False
2023-02-19,60,False
2023-02-26,36,False
2023-03-05,72,False
2023-03-12,85,False
2023-03-19,100,False
2023-03-26,85,False
2023-04-02,74,False
2023-04-09,88,False
2023-04-16,66,False
2023-04-23,55,False
2023-04-30,97,False
2023-05-07,77,False
2023-05-14,84,False
2023-05-21,91,False
2023-05-28,66,False
2023-06-04,81,False
2023-06-11,75,False
2023-06-18,56,False
2023-06-25,84,False
2023-07-02,63,False
2023-07-09,36,False
2023-07-16,77,False
2023-07-23,42,False
2023-07-30,53,False
2023-08-06,59,False
2023-08-13,76,False
2023-08-20,72,False
2023-08-27,63,False
2023-09-03,48,False
2023-09-10,54,False
2023-09-17,74,False
2023-09-24,48,False
2023-10-01,63,False
2023-10-08,84,False
2023-10-15,68,False
2023-10-22,60,False
2023-10-29,45,False
2023-11-05,87,False
2023-11-12,65,False
2023-11-19,92,False
2023-11-26,58,False
2023-12-03,58,False
2023-12-10,90,False
2023-12-17,58,False
2023-12-24,83,False
2023-12-31,60,False
