date,/m/0jgxn,isPartial
2023-01-01,42,False
2023-01-08,76,False
2023-01-15,80,False
2023-01-22,65,False
2023-01-29,67,False
2023-02-05,53,False
2023-02-12,82,False
2023-02-19,82,False
2023-02-26,71,False
2023-03-05,83,False
2023-03-12,54,False
2023-03-19,43,False
2023-03-26,44,False
2023-04-02,54,False
2023-04-09,68,False
2023-04-16,90,False
2023-04-23,35,False
2023-04-30,46,False
2023-05-07,55,False
2023-05-14,71,False
2023-05-21,61,False
2023-05-28,68,False
2023-06-04,49,False
2023-06-11,69,False
2023-06-18,41,False
2023-06-25,46,False
2023-07-02,56,False
2023-07-09,66,False
2023-07-16,65,False
2023-07-23,58,False
2023-07-30,50,False
2023-08-06,0,False
2023-08-13,52,False
2023-08-20,79,False
2023-08-27,69,False
2023-09-03,71,False
2023-09-10,100,False
2023-09-17,72,False
2023-09-24,87,False
2023-10-01,82,False
2023-10-08,83,False
2023-10-15,73,False
2023-10-22,78,False
2023-10-29,38,False
2023-11-05,85,False
2023-11-12,96,False
2023-11-19,77,False
2023-11-26,86,False
2023-12-03,74,False
2023-12-10,66,False
2023-12-17,75,False
2023-12-24,58,False
2023-12-31,72,False
