Categoría: Todas las categorías

Semana,Ansiedad: (Bélgica)
2023-01-01,70
2023-01-08,65
2023-01-15,69
2023-01-22,69
2023-01-29,64
2023-02-05,71
2023-02-12,69
2023-02-19,75
2023-02-26,68
2023-03-05,67
2023-03-12,79
2023-03-19,76
2023-03-26,79
2023-04-02,87
2023-04-09,70
2023-04-16,75
2023-04-23,72
2023-04-30,69
2023-05-07,76
2023-05-14,76
2023-05-21,75
2023-05-28,73
2023-06-04,74
2023-06-11,60
2023-06-18,76
2023-06-25,60
2023-07-02,59
2023-07-09,55
2023-07-16,68
2023-07-23,59
2023-07-30,67
2023-08-06,87
2023-08-13,100
2023-08-20,75
2023-08-27,71
2023-09-03,80
2023-09-10,77
2023-09-17,76
2023-09-24,75
2023-10-01,72
2023-10-08,76
2023-10-15,69
2023-10-22,77
2023-10-29,67
2023-11-05,94
2023-11-12,92
2023-11-19,77
2023-11-26,85
2023-12-03,68
2023-12-10,81
2023-12-17,75
2023-12-24,75
2023-12-31,80
