Categoría: Todas las categorías

Semana,Ansiedad: (Francia)
2023-01-01,96
2023-01-08,91
2023-01-15,89
2023-01-22,86
2023-01-29,88
2023-02-05,83
2023-02-12,79
2023-02-19,89
2023-02-26,87
2023-03-05,92
2023-03-12,94
2023-03-19,91
2023-03-26,97
2023-04-02,99
2023-04-09,91
2023-04-16,89
2023-04-23,91
2023-04-30,88
2023-05-07,90
2023-05-14,89
2023-05-21,88
2023-05-28,82
2023-06-04,78
2023-06-11,82
2023-06-18,85
2023-06-25,74
2023-07-02,81
2023-07-09,71
2023-07-16,80
2023-07-23,79
2023-07-30,79
2023-08-06,81
2023-08-13,77
2023-08-20,76
2023-08-27,85
2023-09-03,88
2023-09-10,91
2023-09-17,96
2023-09-24,91
2023-10-01,91
2023-10-08,90
2023-10-15,87
2023-10-22,87
2023-10-29,88
2023-11-05,98
2023-11-12,100
2023-11-19,97
2023-11-26,89
2023-12-03,88
2023-12-10,87
2023-12-17,80
2023-12-24,75
2023-12-31,85
