Categoría: Todas las categorías

Semana,Ansiedad: (Croacia)
2023-01-01,78
2023-01-08,71
2023-01-15,91
2023-01-22,79
2023-01-29,98
2023-02-05,83
2023-02-12,91
2023-02-19,86
2023-02-26,78
2023-03-05,89
2023-03-12,83
2023-03-19,82
2023-03-26,87
2023-04-02,84
2023-04-09,100
2023-04-16,87
2023-04-23,95
2023-04-30,61
2023-05-07,70
2023-05-14,62
2023-05-21,81
2023-05-28,87
2023-06-04,58
2023-06-11,67
2023-06-18,72
2023-06-25,81
2023-07-02,77
2023-07-09,65
2023-07-16,56
2023-07-23,85
2023-07-30,66
2023-08-06,77
2023-08-13,62
2023-08-20,71
2023-08-27,85
2023-09-03,79
2023-09-10,84
2023-09-17,83
2023-09-24,64
2023-10-01,63
2023-10-08,76
2023-10-15,66
2023-10-22,71
2023-10-29,70
2023-11-05,71
2023-11-12,76
2023-11-19,72
2023-11-26,73
2023-12-03,82
2023-12-10,85
2023-12-17,50
2023-12-24,82
2023-12-31,70
