Categoría: Todas las categorías

Semana,Ansiedad: (Luxemburgo)
2023-01-01,74
2023-01-08,0
2023-01-15,92
2023-01-22,82
2023-01-29,65
2023-02-05,57
2023-02-12,0
2023-02-19,54
2023-02-26,68
2023-03-05,81
2023-03-12,0
2023-03-19,98
2023-03-26,64
2023-04-02,58
2023-04-09,72
2023-04-16,44
2023-04-23,61
2023-04-30,73
2023-05-07,64
2023-05-14,96
2023-05-21,0
2023-05-28,0
2023-06-04,74
2023-06-11,69
2023-06-18,48
2023-06-25,44
2023-07-02,60
2023-07-09,75
2023-07-16,83
2023-07-23,74
2023-07-30,59
2023-08-06,0
2023-08-13,59
2023-08-20,57
2023-08-27,66
2023-09-03,0
2023-09-10,87
2023-09-17,71
2023-09-24,50
2023-10-01,76
2023-10-08,83
2023-10-15,50
2023-10-22,58
2023-10-29,0
2023-11-05,0
2023-11-12,63
2023-11-19,53
2023-11-26,46
2023-12-03,100
2023-12-10,0
2023-12-17,77
2023-12-24,0
2023-12-31,89
