Categoría: Todas las categorías

Semana,Ansiedad: (Letonia)
2023-01-01,40
2023-01-08,39
2023-01-15,33
2023-01-22,44
2023-01-29,35
2023-02-05,35
2023-02-12,29
2023-02-19,38
2023-02-26,46
2023-03-05,41
2023-03-12,53
2023-03-19,51
2023-03-26,47
2023-04-02,50
2023-04-09,42
2023-04-16,38
2023-04-23,40
2023-04-30,47
2023-05-07,34
2023-05-14,48
2023-05-21,43
2023-05-28,100
2023-06-04,51
2023-06-11,50
2023-06-18,29
2023-06-25,23
2023-07-02,47
2023-07-09,28
2023-07-16,29
2023-07-23,38
2023-07-30,42
2023-08-06,33
2023-08-13,25
2023-08-20,46
2023-08-27,33
2023-09-03,42
2023-09-10,24
2023-09-17,35
2023-09-24,30
2023-10-01,36
2023-10-08,45
2023-10-15,47
2023-10-22,46
2023-10-29,45
2023-11-05,34
2023-11-12,39
2023-11-19,29
2023-11-26,80
2023-12-03,37
2023-12-10,50
2023-12-17,40
2023-12-24,36
2023-12-31,46
