Categoría: Todas las categorías

Semana,Ansiedad: (Malta)
2023-01-01,0
2023-01-08,74
2023-01-15,100
2023-01-22,0
2023-01-29,0
2023-02-05,46
2023-02-12,54
2023-02-19,70
2023-02-26,75
2023-03-05,75
2023-03-12,47
2023-03-19,0
2023-03-26,55
2023-04-02,60
2023-04-09,0
2023-04-16,71
2023-04-23,82
2023-04-30,69
2023-05-07,47
2023-05-14,54
2023-05-21,89
2023-05-28,0
2023-06-04,48
2023-06-11,54
2023-06-18,52
2023-06-25,62
2023-07-02,0
2023-07-09,0
2023-07-16,62
2023-07-23,74
2023-07-30,70
2023-08-06,71
2023-08-13,56
2023-08-20,54
2023-08-27,47
2023-09-03,0
2023-09-10,0
2023-09-17,49
2023-09-24,79
2023-10-01,73
2023-10-08,63
2023-10-15,57
2023-10-22,52
2023-10-29,0
2023-11-05,76
2023-11-12,0
2023-11-19,61
2023-11-26,0
2023-12-03,67
2023-12-10,0
2023-12-17,57
2023-12-24,66
2023-12-31,0
